person,x,y
2,626.3,523.4
2,700.3,616.7
2,548.2,519.2
2,331.4,669.3
2,505.6,221.6
2,591,591.6
2,683.3,382.7
2,592.2,401.5
2,609.4,471.1
2,451.8,719.6
2,497.6,538.2
2,406.8,798
2,484.9,800.3
2,446.7,266.8
2,500.5,244.9
2,474.4,94
2,539.3,428.9
2,817.5,660.4
2,541.1,417.3
2,530.4,333.6
2,813.5,504
2,412.8,450.3
2,507.1,455.8
2,840.1,713.5
2,968.2,738.7
2,537.5,294.2
2,553.3,165.5
2,312.6,210.9
2,494.9,366.2
2,560.4,378.9
2,357.9,523.7
2,543.5,476.8
2,784.9,463.4
2,641.9,456.8
2,960.7,550.2
2,253.7,492.3
2,232.2,461.1
2,752.6,617.1
2,849.4,549.5
2,699.2,285.6
2,488.5,239.3
2,507.5,457
2,501.2,586
2,180.7,328.7
2,496.6,426.5
2,440.3,355.1
2,131.2,550.6
2,487.7,508.2
2,488.7,490.2
2,606.3,376.9
2,526.4,451.2
2,541.7,689.1
2,511.1,927.2
2,573.7,427.2
2,665.5,401.2
2,615.2,397.7
2,614.5,841.1
2,600.9,870.9
4,449,433.4
4,466.3,420
4,306.2,636
4,338.9,503.1
4,302.1,504.6
4,468.7,639.3
4,539.7,380
4,356.1,383.9
4,340.3,405.6
4,511.4,731.3
4,524.1,679.8
4,688.4,682.4
4,878.3,347.9
4,508.2,465.1
4,363.1,489.2
4,523.3,590.9
4,736.9,541.2
4,655.9,306.1
4,507.6,308.2
4,490.1,286.8
4,503.8,667.1
4,521.6,651.5
4,812,513.4
4,904.2,526.9
4,1003.6,466.8
4,397.3,445.9
4,250.5,476.5
4,241.4,501.2
4,376.3,914.7
4,490.6,920.3
4,551.9,438
4,544.4,321.1
4,518.5,199
4,384,564.6
4,716.6,574.2
4,942.1,181.6
4,467.7,145.1
4,489.7,100.7
4,680,208.4
4,518.5,322.6
4,589.7,494.5
4,558.5,406.8
4,699.6,216.7
4,595.1,466.4
4,467.9,403.6
4,740.1,429.8
4,767.1,472.8
4,554.5,826.9
4,534.1,384.9
4,526.9,407.4
4,511.7,329.3
4,788.7,381.3
4,799.4,419.7
4,804.1,438.2
4,559.7,802.1
4,520.7,635.8
4,618.9,705.7
4,532.7,469.4
4,300.5,329.1
4,515.9,391.7
4,508.3,437.5
4,544.3,774.9
4,580.6,539.9
4,598.8,866
4,650.9,992.8
4,314.9,487.6
4,330.8,401.7
4,437.7,391
4,674.1,263.6
4,513,353.1
4,543.2,339.8
4,379.8,346.2
4,333.6,359.2
4,425.4,710.1
4,504.7,615.6
4,521.7,489.2
4,630.4,550.1
4,375.4,639
4,624.9,383
4,547.1,443.9
4,502.4,812.4
4,438,470.4
4,565.1,801.3
4,504,390.9
4,375.6,584.9
4,515.5,730.2
4,586.4,679.3
4,688.9,644.9
4,835.8,518.4
4,488,320.8
4,597.9,435.3
4,519.4,698.5
4,658.9,811.9
4,901.6,688.8
4,623.4,316.8
4,555.6,251.5
4,314.4,489.8
4,394.3,509.9
4,402,514.8
4,339.3,580.5
4,554.2,349.9
4,635.1,185.7
4,652.4,160.8
4,636.4,542.1
4,549.6,648
4,656.7,801.8
4,765.1,735.3
4,877,408.9
4,338.2,342.5
4,499.7,329.3
4,285.8,402.9
